City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,suponevo,53.2049,34.296,-5.51,96,100,1.72,RU,1706642571
313,smara,26.7384,-11.6719,23.39,10,3,4.43,EH,1706642571
314,frontera,26.9333,-101.45,21.86,38,40,1.34,MX,1706642572
315,statesboro,32.4488,-81.7832,16.74,29,0,4.12,US,1706642572
316,rabo de peixe,37.8,-25.5833,17.77,99,20,4.12,PT,1706642572
317,campos sales,-7.0744,-40.3761,32.61,34,83,1.46,BR,1706642573
318,ranau,5.9538,116.6641,20.5,97,83,0.06,MY,1706642573
319,codrington,-38.2667,141.9667,13.51,79,0,3.63,AU,1706642573
320,la ronge,55.1001,-105.2842,3.14,70,75,1.54,CA,1706642574
321,conde,-7.2597,-34.9075,30.7,62,40,5.66,BR,1706642574
322,sechelt,49.4664,-123.7694,13.97,92,100,0.57,CA,1706642574
323,taksimo,56.3444,114.8794,-32.13,90,39,0.89,RU,1706642574
324,shitanjing,39.2342,106.3439,-4.36,36,100,1.27,CN,1706642575
325,tutoia,-2.7619,-42.2744,29.52,67,11,4.78,BR,1706642552
326,pontianak,-0.0333,109.3333,22.99,100,100,0.51,ID,1706642575
327,adrasmon,40.6472,69.9856,-5.75,78,100,2.99,TJ,1706642576
328,robstown,27.7903,-97.6689,21.94,45,0,3.09,US,1706642428
329,westport,41.1415,-73.3579,3.27,66,100,2.57,US,1706642411
330,page,36.9147,-111.4558,9.5,59,0,2.06,US,1706642577
331,bandrele,-12.9067,45.1914,25.86,89,0,1.54,YT,1706642577
332,zyryanskoye,56.8306,86.6258,-23.32,99,98,1.64,RU,1706642577
333,mountain home,43.133,-115.6912,11.75,62,0,7.72,US,1706642578
334,ciudad bolivar,8.1222,-63.5497,36.16,33,100,3.29,VE,1706642578
335,kijang,35.2442,129.2139,4.85,78,100,1.82,KR,1706642578
336,nelson bay,-32.7167,152.15,23.33,97,5,3.58,AU,1706642578
337,lazaro cardenas,17.9583,-102.2,29.0,58,100,3.11,MX,1706642579
338,labytnangi,66.6572,66.4183,-15.21,96,100,2.99,RU,1706642579
339,vila velha,-20.3297,-40.2925,30.97,82,20,5.14,BR,1706642579
340,markova,48.6758,24.4138,-1.62,79,39,2.6,UA,1706642580
341,palmer,42.1584,-72.3287,2.51,69,100,0.89,US,1706642580
342,carnarvon,-24.8667,113.6333,25.91,70,47,7.29,AU,1706642581
343,champerico,14.3,-91.9167,36.3,64,1,5.05,GT,1706642581
344,ugoofaaru,5.6667,73.0,27.94,72,100,4.64,MV,1706642581
345,nagyatad,46.2296,17.3579,2.1,73,3,2.9,HU,1706642582
346,guercif,34.2257,-3.3536,14.06,72,0,4.64,MA,1706642582
347,nuuk,64.1835,-51.7216,-12.66,56,75,10.8,GL,1706642582
348,pasing,48.1478,11.4607,6.12,75,100,2.57,DE,1706642583
349,suntar,62.1444,117.6319,-33.09,97,84,1.88,RU,1706642583
